date,granule_id,title,type,text
for pedophiles in the Epstein files. America certainly doesn't want to 
be saved by the same people who still can't get over losing the 2020 
election so they are going to try to rig the next one.
  Go save somebody else, but we don't want this garbage. We will fight 
like hell to stop you from making it harder for millions of Americans 
to register to vote.
  We know why you are doing this. It is because you are afraid that you 
are going to lose in November. Well, too bad. Too bad. Either change 
your crappy policies or face the voters and deal with the consequences 
of your own actions. Those are the only two options in a democracy.
  Mr. Speaker, I reserve the balance of my time.
  The SPEAKER pro tempore. Members are reminded to refrain from 
engaging in personalities toward the President and to direct their 
remarks to the Chair.
  Mr. ROY. Mr. Speaker, that was a whole lot of words to say my 
Democratic colleagues don't want only citizens to vote and don't like 
voter ID.
  Mr. Speaker, I yield 2 minutes to the gentleman from Georgia (Mr. 
Clyde).
  Mr. CLYDE. Mr. Speaker, I rise today in strong support of the SAVE 
America Act, which implements commonsense measures backed by the vast 
majority of Americans, across party lines, to secure our elections and 
ensure that it is easy to vote but hard to cheat.
  As my great State of Georgia knows all too well, we must do more to 
deliver secure elections. The survival of our constitutional Republic 
relies on free, fair, and secure elections.
  Thankfully, this legislation bolsters election integrity by requiring 
a government photo ID to vote, requiring proof of U.S. citizenship to 
register to vote, and directing States to remove noncitizens from 
existing voter rolls.
  These are not controversial issues. In fact, leftwing CNN's own 
recent polling shows that 83 percent of Americans support voter ID, 
including the majority of Republicans and Democrats, as well as voters 
regardless of their race.
  Who would oppose such a bill and why? Unsurprisingly, my Democrat 
colleagues oppose the SAVE America Act because it hurts the Democratic 
Party's ability to cheat in our elections.
  Just think of all the things Americans need an ID for, yet face 
absolutely

[[Page H2124]]

no backlash from the Democratic Party. For example, to exercise another 
constitutional right, the Second Amendment, an individual must present 
a government-issued photo ID to purchase a firearm from a Federal 
firearms dealer. Yet, requiring identification to vote is somehow 
portrayed as controversial.
  To underscore the Democrats' hypocrisy even further, in funding 
negotiations, Chuck Schumer and House Minority Leader Hakeem Jeffries 
are demanding that ICE agents show IDs to arrest illegal aliens. They 
support photo ID to enforce immigration laws but oppose photo ID to 
ensure our elections are secure. This is incredible hypocrisy.
  In Proverbs 11:9, God says: ``The hypocrite with his mouth destroys 
his neighbor.'' That is exactly what Democrats are trying to do: 
destroy this country with their hypocrisy over voter identification.
  Mr. Speaker, I support this act.
  Mr. McGOVERN. Mr. Speaker, I yield myself such time as I may consume.
  Mr. Speaker, let me first correct the gentleman from Texas, who 
mischaracterized deliberately my remarks. I made it very clear in my 
opening, and I will read it again to him, that if noncitizens are 
voting in Federal elections, they should be prosecuted. We all believe 
it. He doesn't have to listen if he doesn't want to, but please don't 
mischaracterize what I said.
  Mr. Speaker, I am looking over to the other side of the aisle and 
can't help but be stunned by the number of people over there who I 
remember coming on this floor and denying the election results in the 
year 2020 because they didn't like the results.
  Mr. Speaker, I am going to urge that we defeat the previous question. 
If we do, I will offer an amendment to the rule to make in order 
amendment No. 10 to the SAVE America Act, which prohibits Members of 
Congress, the President, the Vice President, their spouses, and 
dependents from owning or trading stocks.
  Mr. Speaker, I ask unanimous consent to insert the text of my 
amendment into the Record, along with extraneous material, immediately 
prior to the vote on the previous question.
  The SPEAKER pro tempore. Is there objection to the request of the 
gentleman from Massachusetts?
  There was no objection.
  Mr. McGOVERN. Mr. Speaker, to discuss our proposal, I yield 2 minutes 
to the gentleman from New York (Mr. Morelle), the sponsor of the 
amendment and the ranking member of the Committee on House 
Administration.
  Mr. MORELLE. Mr. Speaker, I thank my longtime friend, the 
distinguished ranking member of the Rules Committee, for his vigorous 
defense of our position and his encouragement that people vote against 
the so-called SAVE America Act.
  Mr. Speaker, the way to enhance Americans' trust in government is by 
holding ourselves to a higher standard, not by disenfranchising 
citizens seeking to participate in our democracy.
  The vast majority of Americans believe that it is time to end the 
practice of Members of Congress and the President and Vice President 
from trading stocks, and that is what the Restore Trust in Government 
Act would do.
  Speaker Johnson has refused to move any bill to ban Member stock 
trading. I offered this proposal as an amendment to the SAVE America 
Act, but it was rejected by the majority.
  I also have a discharge petition on stock trading that has over 170 
signatures, nearing the 218 signatures needed to pass the House. If we 
want Americans to trust us, to trust our government, we need to root 
out corruption, real corruption, not imaginary voter fraud.
  We have an opportunity to do that right here and right now. That is 
what the Restore Trust in Government Act would do.
  Mr. Speaker, I urge my colleagues to recognize the importance of the 
moment and to defeat the previous question. Once we do, the House can 
finally pass a stock trading ban.
  Mr. Speaker, I reserve the balance of my time.
  Mr. ROY. Mr. Speaker, I yield myself such time as I may consume.
  Mr. Speaker, I am about to yield 2 minutes to my friend from Arizona, 
but I will just note that, as one of the lead sponsors of the 
legislation to deal with prohibiting Members of Congress from engaging 
in the act of trading in stocks, we are working on a bipartisan basis. 
We have legislation we are going to move. There will be a time to do 
that, and this is a complete substitute. In other words, this is fake.
  It is a bunch of drama because my colleagues on the other side of the 
aisle do not want voter identification to be used to vote, and they do 
